,POLTITICAL_UNIT,NAME,WGMS_ID,RIVER_BASIN,FREE_POSITION,LOCAL_CODE,LOCAL_PSFG,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,REGION,SUBREGION,GLIMS_ID,RGI_ID
420,CH,AELPLI-S,5005,,,,,,,46.6217,8.36694,,,,,,,,Central Europe,Alps,G008367E46622N,
421,CH,GELMER-N,5006,,,,,,,46.610901,8.36545,,,,,,,,Central Europe,Alps,G008365E46611N,RGI50-11.01313
422,CH,GELMER-S,5007,,,,,,,46.605598,8.35753,,,,,,,,Central Europe,Alps,G008362E46606N,
423,CH,GAERSTEN,5008,,,,,,,46.600102,8.35874,,,,,,,,Central Europe,Alps,G008360E46600N,RGI50-11.01363
424,CH,GAESTENGRAT-S,5009,,,,,,,46.5849,8.35848,,,,,,,,Central Europe,Alps,G008359E46585N,
425,CH,UESSRI GARWYDILIMI,5010,,,,,,,46.646198,8.3334,,,,,,,,Central Europe,Alps,G008333E46646N,
426,CH,DIECHTERHORN-W (PART OF A54F/05),5011,,,,,,,46.644199,8.35819,,,,,,,,Central Europe,Alps,G008357E46646N,RGI50-11.01250
427,CH,DIECHTER-N (PART OF A54F/05),5012,,,,,,,46.654202,8.34399,,,,,,,,Central Europe,Alps,G008342E46657N,RGI50-11.01229
428,CH,LOEFFELHORN-N,5013,,,,,,,46.529098,8.23631,,,,,,,,Central Europe,Alps,G008235E46528N,RGI50-11.01552
429,CH,SCHEUCHZERHORN-SE (PART OF A54G/35N),5014,,,,,,,46.5438,8.19481,,,,,,,,Central Europe,Alps,G008194E46544N,RGI50-11.01500
430,CH,VORD. TIERBERG-NE,5015,,,,,,,46.552502,8.23405,,,,,,,,Central Europe,Alps,G008225E46552N,
431,CH,VORD. TIERBERG-NW,5016,,,,,,,46.551701,8.22491,,,,,,,,Central Europe,Alps,G008231E46552N,RGI50-11.01485
432,CH,TIERBERG (PART OF A54G/50N),5017,,,,,,,46.548199,8.20139,,,,,,,,Central Europe,Alps,G008202E46548N,RGI50-11.01489
433,CH,SCHEUCHZERHORN-NE,5018,,,,,,,46.547401,8.19225,,,,,,,,Central Europe,Alps,G008192E46547N,RGI50-11.01495
434,CH,GRUNERHORN-NW,5019,,,,,,,46.542099,8.17784,,,,,,,,Central Europe,Alps,G008179E46542N,RGI50-11.01501
435,CH,NASSE STRAHLEGG-SE,5020,,,,,,,46.5522,8.13755,,,,,,,,Central Europe,Alps,G008138E46553N,RGI50-11.01483
436,CH,KL. LAUTERAARHORN-W,5021,,,,,,,46.577499,8.13005,,,,,,,,Central Europe,Alps,G008131E46578N,RGI50-11.01414
437,CH,KL. LAUTERAARHORN-SW (PART OF A54G/50N),5022,,,,,,,46.5756,8.13394,,,,,,,,Central Europe,Alps,G008135E46578N,RGI50-11.01413
438,CH,KL. LAUTERAARHORN-S,5023,,,,,,,46.572899,8.13912,,,,,,,,Central Europe,Alps,G008139E46573N,RGI50-11.01433
439,CH,LAUTERAAR-ROTHOERNER-W,5024,,,,,,,46.568401,8.1495,,,,,,,,Central Europe,Alps,G008149E46569N,RGI50-11.01437
440,CH,LAUTERAAR-ROTHOERNER-S,5025,,,,,,,46.562,8.15594,,,,,,,,Central Europe,Alps,G008155E46562N,
441,CH,ABSCHWUNGHORN-SW-I,5026,,,,,,,46.563801,8.15857,,,,,,,,Central Europe,Alps,G008158E46564N,RGI50-11.01447
442,CH,OESTL. ANKEBAELLILUECKE-W (PART OF A54G/50N),5027,,,,,,,46.603401,8.15127,,,,,,,,Central Europe,Alps,G008151E46604N,RGI50-11.01341
443,CH,OESTL. ANKEBAELLILUECKE-S,5028,,,,,,,46.6007,8.15906,,,,,,,,Central Europe,Alps,G008159E46599N,RGI50-11.01353
