,POLITICAL_UNIT,NAME,WGMS_ID,RIVER_BASIN,FREE_POSITION,LOCAL_CODE,LOCAL_PSFG,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,GEO-REGION_CODE,GEO-SUBREGION_CODE,FoG_compname,AREA,MATCH_RATIO,MATCH_NAME,AREA_MATCH,DIST_TO_CLOSEST,CLOSEST,AREA_CLOSEST
703,CH,BELLA TOLA,383,N0126,1,  2,0021,WESTERN ALPS,RHONE BASIN,46.24,7.65,6.0,4,6.0,N,N,,Remarks from LAT/LON-Check: controlled and corrected with maps. Former LAT/LON: 46.25 / 7.65.,CEU,CEU-01,bella tola,0.31,0.9090909090909091,bella tola g,0.07212,231.15849929469672,bella tola g,0.07212
704,CH,BIDER,2661,4N013,53,8,0177,WESTERN ALPS,RHONE BASIN,46.13,7.89,,,,NE,NE,,,CEU,CEU-01,bider,,0.9090909090909091,biderg,1.1875,502.8888631957897,biderg,1.1875
705,CH,BIFERTEN,422,R0135,0,I12,0077,WESTERN ALPS,LIMMAT BASIN,46.82,8.95,5.0,3,8.0,E,NE,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,biferten,2.86,0.8,bifertenfirn,2.52312,955.3069260669527,hinter roetifirn,0.16328
706,CH,BIRCH,1670,,,,0354,WESTERN ALPS,RHONE BASIN,46.4,7.85,6.0,5,0.0,NW,NW,,"Entry from former field AUTHORS: ""DR. M. HOELZLE"".Remarks from LAT/LON-Check: controlled and was not exact or clear, but not corrected; supposed to be called ""Baltschieder"".",CEU,CEU-01,birch,0.54,0.9090909090909091,birchg,0.22421999999999997,343.99517501399106,birchg,0.22421999999999997
707,CH,BIS,388,N0125,8,  8,0107,WESTERN ALPS,RHONE BASIN,46.1,7.73,6.0,2,4.0,E,E,,Remarks from LAT/LON-Check: controlled and corrected with maps. Former LAT/LON: 46.12 / 7.73.,CEU,CEU-01,bis,4.79,0.8571428571428571,bisg,3.82875,508.75351979289434,schalig-w-iii,0.04122
708,CH,BLUEMLISALP,436,R0135,5,B 2,0064,WESTERN ALPS,AARE BASIN,46.5,7.77,6.0,1,6.0,NW,NW,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,bluemlisalp,2.98,0.9565217391304348,bluemlisalpg,2.22938,535.9840113560299,bluemlisalpg,2.22938
709,CH,BODMER,1671,,,,0355,WESTERN ALPS,TESSIN BASIN,46.17,8.02,6.0,5,0.0,N,NE,,"Entry from former field AUTHORS: ""DR. M. HOELZLE"".Remarks from LAT/LON-Check: controlled and corrected with maps. Former LAT/LON: 46.08 / 8.25.",CEU,CEU-01,bodmer,0.64,0.9230769230769231,bodmerg,0.32547,556.3076468130814,bodmerg,0.32547
710,CH,BOVEYRE,459,N0128,4,  4,0041,WESTERN ALPS,RHONE BASIN,45.97,7.25,5.0,2,9.0,NW,NW,,Remarks from LAT/LON-Check: controlled and corrected with maps. Former LAT/LON: 45.97 / 7.27.,CEU,CEU-01,boveyre,1.99,0.631578947368421,boveire g de,1.62625,637.1462894755575,boveire g de,1.62625
711,CH,BREITHORN,2311,4R014,4M,19,,,,46.48,7.85,,,,,,,M. Zemp: GenInfo from WGI for table RECONSTRUCTION.Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,breithorn,,0.9473684210526315,breithorng,2.71188,143.25762607568373,tschingelhorn-ne,0.01787
712,CH,BRENEY,368,N0128,2, 19,0036,WESTERN ALPS,RHONE BASIN,45.97,7.42,5.0,1,7.0,S,SW,,Remarks from LAT/LON-Check: controlled and was okay.,CEU,CEU-01,breney,9.8,0.625,bristen-se,0.0286,140.8016527110397,brenay g du,7.109380000000001
